code;name;sector;date;open;close;port_shares;total_shares;benchmark
600028.SH;ZhongGuoShiHua;Chemical;2014-01-27;4.6;4.57;10000;91051875187;
600028.SH;ZhongGuoShiHua;Chemical;2014-01-28;4.52;4.54;10000;91051875187;
600028.SH;ZhongGuoShiHua;Chemical;2014-01-29;4.49;4.49;10000;91051875187;
600028.SH;ZhongGuoShiHua;Chemical;2014-01-30;4.49;4.49;10000;91051875187;
600061.SH;ZhongFangTouZi;Chemical;2014-01-02;6.16;6.15;10000;429082940;
600061.SH;ZhongFangTouZi;Chemical;2014-01-03;6.08;6.08;10000;429082940;
600061.SH;ZhongFangTouZi;Chemical;2014-01-06;5.86;5.86;10000;429082940;
600061.SH;ZhongFangTouZi;Chemical;2014-01-07;5.66;5.6;9000;429082940;
600061.SH;ZhongFangTouZi;Chemical;2014-01-08;5.68;5.68;9000;429082940;
600061.SH;ZhongFangTouZi;Chemical;2014-01-09;5.56;5.54;9000;429082940;
600061.SH;ZhongFangTouZi;Chemical;2014-01-10;5.54;5.52;9000;429082940;
600061.SH;ZhongFangTouZi;Chemical;2014-01-13;5.49;5.46;9000;429082940;
600061.SH;ZhongFangTouZi;Chemical;2014-01-14;5.33;5.27;9000;429082940;
600061.SH;ZhongFangTouZi;Chemical;2014-01-15;5.43;5.41;9000;429082940;
600061.SH;ZhongFangTouZi;Chemical;2014-01-16;5.4;5.44;9000;429082940;
600061.SH;ZhongFangTouZi;Chemical;2014-01-17;5.45;5.45;8000;429082940;
600061.SH;ZhongFangTouZi;Chemical;2014-01-20;5.28;5.24;8000;429082940;
600061.SH;ZhongFangTouZi;Chemical;2014-01-21;5.28;5.28;8000;429082940;
600061.SH;ZhongFangTouZi;Chemical;2014-01-22;5.35;5.38;8000;429082940;
600061.SH;ZhongFangTouZi;Chemical;2014-01-23;5.52;5.49;8000;429082940;
600061.SH;ZhongFangTouZi;Chemical;2014-01-24;5.49;5.45;8000;429082940;
600061.SH;ZhongFangTouZi;Chemical;2014-01-27;5.58;5.52;8000;429082940;
600061.SH;ZhongFangTouZi;Chemical;2014-01-28;5.56;5.56;8000;429082940;
600061.SH;ZhongFangTouZi;Chemical;2014-01-29;5.62;5.64;8000;429082940;
600061.SH;ZhongFangTouZi;Chemical;2014-01-30;5.61;5.56;8000;429082940;
000523.SZ;GuangZhouLangQi;Chemical;2014-01-02;9.22;9.18;10000;444975188;
000523.SZ;GuangZhouLangQi;Chemical;2014-01-03;9.24;9.2;10000;444975188;
000523.SZ;GuangZhouLangQi;Chemical;2014-01-06;9.11;9.12;10000;444975188;
000523.SZ;GuangZhouLangQi;Chemical;2014-01-07;8.96;8.88;10000;444975188;
000523.SZ;GuangZhouLangQi;Chemical;2014-01-08;8.96;8.95;10000;444975188;
000523.SZ;GuangZhouLangQi;Chemical;2014-01-09;8.86;8.75;11000;444975188;
000523.SZ;GuangZhouLangQi;Chemical;2014-01-10;8.85;8.8;11500;444975188;
000523.SZ;GuangZhouLangQi;Chemical;2014-01-13;8.75;8.75;12000;444975188;
000523.SZ;GuangZhouLangQi;Chemical;2014-01-14;8.71;8.69;12500;444975188;
000523.SZ;GuangZhouLangQi;Chemical;2014-01-15;8.93;8.91;13000;444975188;
000523.SZ;GuangZhouLangQi;Chemical;2014-01-16;9.12;9.06;13000;444975188;
000523.SZ;GuangZhouLangQi;Chemical;2014-01-17;9.05;9.02;13000;444975188;
000523.SZ;GuangZhouLangQi;Chemical;2014-01-20;8.66;8.62;13500;444975188;
000523.SZ;GuangZhouLangQi;Chemical;2014-01-21;8.84;8.79;13500;444975188;
000523.SZ;GuangZhouLangQi;Chemical;2014-01-22;8.84;8.8;13500;444975188;
000523.SZ;GuangZhouLangQi;Chemical;2014-01-23;9;9.04;14500;444975188;
000523.SZ;GuangZhouLangQi;Chemical;2014-01-24;9.14;9.11;14500;444975188;
000523.SZ;GuangZhouLangQi;Chemical;2014-01-27;9.31;9.22;14500;444975188;
000523.SZ;GuangZhouLangQi;Chemical;2014-01-28;9.27;9.24;15000;444975188;
000523.SZ;GuangZhouLangQi;Chemical;2014-01-29;9.29;9.33;15000;444975188;
000523.SZ;GuangZhouLangQi;Chemical;2014-01-30;9.44;9.37;15000;444975188;
000002.SZ;WanKeA;Estate;2014-01-02;8.03;7.99;10000;9676185190;
000002.SZ;WanKeA;Estate;2014-01-03;7.99;7.97;11000;9676185190;
000002.SZ;WanKeA;Estate;2014-01-06;7.84;7.82;11000;9676185190;
000002.SZ;WanKeA;Estate;2014-01-07;7.48;7.43;11000;9676185190;
000002.SZ;WanKeA;Estate;2014-01-08;7.43;7.45;11000;9676185190;
000002.SZ;WanKeA;Estate;2014-01-09;7.42;7.43;12000;9676185190;
000002.SZ;WanKeA;Estate;2014-01-10;7.46;7.42;12000;9676185190;
000002.SZ;WanKeA;Estate;2014-01-13;7.38;7.39;12000;9676185190;
000002.SZ;WanKeA;Estate;2014-01-14;7.24;7.18;12000;9676185190;
000002.SZ;WanKeA;Estate;2014-01-15;7.23;7.21;12000;9676185190;
000002.SZ;WanKeA;Estate;2014-01-16;7.17;7.18;12000;9676185190;
000002.SZ;WanKeA;Estate;2014-01-17;7.19;7.17;13000;9676185190;
000002.SZ;WanKeA;Estate;2014-01-20;7.08;7.06;13000;9676185190;
000002.SZ;WanKeA;Estate;2014-01-21;7.13;7.15;13000;9676185190;
000002.SZ;WanKeA;Estate;2014-01-22;7.22;7.24;13000;9676185190;
000002.SZ;WanKeA;Estate;2014-01-23;7.62;7.64;13000;9676185190;
000002.SZ;WanKeA;Estate;2014-01-24;7.49;7.47;13000;9676185190;
000002.SZ;WanKeA;Estate;2014-01-27;7.79;7.7;13000;9676185190;
000002.SZ;WanKeA;Estate;2014-01-28;7.65;7.7;13000;9676185190;
000002.SZ;WanKeA;Estate;2014-01-29;7.64;7.67;13000;9676185190;
000002.SZ;WanKeA;Estate;2014-01-30;7.54;7.52;13000;9676185190;
000006.SZ;ShenZhenYeA;Estate;2014-01-02;4.93;4.93;10000;1338241583;
000006.SZ;ShenZhenYeA;Estate;2014-01-03;4.87;4.84;11000;1338241583;
000006.SZ;ShenZhenYeA;Estate;2014-01-06;4.73;4.74;11000;1338241583;
000006.SZ;ShenZhenYeA;Estate;2014-01-07;4.46;4.45;11000;1338241583;
000006.SZ;ShenZhenYeA;Estate;2014-01-08;4.45;4.45;11000;1338241583;
000006.SZ;ShenZhenYeA;Estate;2014-01-09;4.39;4.4;11000;1338241583;
000006.SZ;ShenZhenYeA;Estate;2014-01-10;4.22;4.18;11000;1338241583;
000006.SZ;ShenZhenYeA;Estate;2014-01-13;4.13;4.17;12000;1338241583;
000006.SZ;ShenZhenYeA;Estate;2014-01-14;4.19;4.19;12000;1338241583;
000006.SZ;ShenZhenYeA;Estate;2014-01-15;4.32;4.29;12000;1338241583;
000006.SZ;ShenZhenYeA;Estate;2014-01-16;4.28;4.3;12000;1338241583;
000006.SZ;ShenZhenYeA;Estate;2014-01-17;4.29;4.29;12000;1338241583;
000006.SZ;ShenZhenYeA;Estate;2014-01-20;4.25;4.25;12000;1338241583;
000006.SZ;ShenZhenYeA;Estate;2014-01-21;4.19;4.17;12000;1338241583;
000006.SZ;ShenZhenYeA;Estate;2014-01-22;4.29;4.31;12000;1338241583;
000006.SZ;ShenZhenYeA;Estate;2014-01-23;4.55;4.52;12000;1338241583;
000006.SZ;ShenZhenYeA;Estate;2014-01-24;4.45;4.45;12000;1338241583;
000006.SZ;ShenZhenYeA;Estate;2014-01-27;4.55;4.53;13000;1338241583;
000006.SZ;ShenZhenYeA;Estate;2014-01-28;4.42;4.42;13000;1338241583;
000006.SZ;ShenZhenYeA;Estate;2014-01-29;4.35;4.37;13000;1338241583;
000006.SZ;ShenZhenYeA;Estate;2014-01-30;4.39;4.37;13000;1338241583;
600007.SH;ZhongGuoGuoMao;Estate;2014-01-02;10.61;10.59;10000;1007282534;
600007.SH;ZhongGuoGuoMao;Estate;2014-01-03;10.54;10.47;10000;1007282534;
600007.SH;ZhongGuoGuoMao;Estate;2014-01-06;10.27;10.25;10000;1007282534;
600007.SH;ZhongGuoGuoMao;Estate;2014-01-07;10;9.98;10000;1007282534;
600007.SH;ZhongGuoGuoMao;Estate;2014-01-08;10.08;10.1;10000;1007282534;
600007.SH;ZhongGuoGuoMao;Estate;2014-01-09;10.02;10.02;10000;1007282534;
600007.SH;ZhongGuoGuoMao;Estate;2014-01-10;9.94;9.86;10000;1007282534;
600007.SH;ZhongGuoGuoMao;Estate;2014-01-13;9.73;9.72;10000;1007282534;
600007.SH;ZhongGuoGuoMao;Estate;2014-01-14;9.51;9.51;10000;1007282534;
600007.SH;ZhongGuoGuoMao;Estate;2014-01-15;9.63;9.59;10000;1007282534;
600007.SH;ZhongGuoGuoMao;Estate;2014-01-16;9.64;9.64;10000;1007282534;
600007.SH;ZhongGuoGuoMao;Estate;2014-01-17;9.69;9.66;10000;1007282534;
600007.SH;ZhongGuoGuoMao;Estate;2014-01-20;9.55;9.5;10000;1007282534;
600007.SH;ZhongGuoGuoMao;Estate;2014-01-21;9.45;9.5;10000;1007282534;
600007.SH;ZhongGuoGuoMao;Estate;2014-01-22;9.6;9.59;10000;1007282534;
600007.SH;ZhongGuoGuoMao;Estate;2014-01-23;10.17;10.15;10000;1007282534;
600007.SH;ZhongGuoGuoMao;Estate;2014-01-24;10;9.98;10000;1007282534;
600007.SH;ZhongGuoGuoMao;Estate;2014-01-27;10.12;10.03;10000;1007282534;
600007.SH;ZhongGuoGuoMao;Estate;2014-01-28;10;10.15;10000;1007282534;
